id,id_trabajador,fecha,dia_semana,hora_entrada,hora_salida,modificado
1,12345678A,2020-01-02,Jueves,06:57:00,14:55:16,false
2,23456789B,2020-01-02,Jueves,07:04:14,14:56:19,false
3,34567890C,2020-01-02,Jueves,06:46:36,15:15:59,false
4,45678901D,2020-01-02,Jueves,06:49:59,15:03:26,false
5,56789012E,2020-01-02,Jueves,07:09:29,14:45:27,false
6,67890123F,2020-01-02,Jueves,06:47:17,15:10:02,false
7,78901234G,2020-01-02,Jueves,06:52:00,14:46:50,false
8,89012345H,2020-01-02,Jueves,06:53:47,15:01:33,false
9,90123456I,2020-01-02,Jueves,06:48:33,15:05:13,false
10,01234567J,2020-01-02,Jueves,06:56:06,15:01:10,false
11,11223344K,2020-01-02,Jueves,07:15:17,14:46:54,false
12,33445566M,2020-01-02,Jueves,07:07:18,15:00:22,false
13,44556677N,2020-01-02,Jueves,07:02:18,15:13:22,false
14,55667788O,2020-01-02,Jueves,07:00:01,15:10:05,false
15,66778899P,2020-01-02,Jueves,07:13:57,14:46:47,false
16,77889900Q,2020-01-02,Jueves,07:09:36,15:08:11,false
17,88990011R,2020-01-02,Jueves,06:58:28,15:03:06,false
18,99001122S,2020-01-02,Jueves,06:46:47,15:02:37,false
19,00112233T,2020-01-02,Jueves,07:13:47,14:55:32,false
20,23423423V,2020-01-02,Jueves,07:12:10,14:47:30,false
21,34534534W,2020-01-02,Jueves,06:54:19,14:58:08,false
22,45645645X,2020-01-02,Jueves,06:48:26,14:52:51,false
23,56756756Y,2020-01-02,Jueves,07:05:43,14:54:34,false
24,12345678A,2020-01-03,Viernes,06:59:50,15:05:50,false
25,34567890C,2020-01-03,Viernes,07:01:32,15:12:31,false
26,45678901D,2020-01-03,Viernes,06:53:16,15:06:12,false
27,56789012E,2020-01-03,Viernes,07:10:13,14:58:59,false
28,67890123F,2020-01-03,Viernes,07:13:14,14:49:01,false
29,78901234G,2020-01-03,Viernes,07:03:12,15:03:24,false
30,89012345H,2020-01-03,Viernes,06:57:10,15:03:17,false
31,01234567J,2020-01-03,Viernes,06:55:55,15:15:25,false
32,11223344K,2020-01-03,Viernes,07:01:07,15:01:00,false
33,22334455L,2020-01-03,Viernes,06:47:08,15:02:24,false
34,33445566M,2020-01-03,Viernes,07:00:30,15:14:54,false
35,44556677N,2020-01-03,Viernes,07:11:33,15:07:33,false
36,55667788O,2020-01-03,Viernes,06:45:29,14:47:59,false
37,66778899P,2020-01-03,Viernes,06:57:07,15:00:41,false
38,77889900Q,2020-01-03,Viernes,06:57:22,14:52:28,false
39,88990011R,2020-01-03,Viernes,07:12:06,15:13:22,false
40,99001122S,2020-01-03,Viernes,06:49:09,14:59:48,false
41,00112233T,2020-01-03,Viernes,06:47:36,15:09:51,false
42,23423423V,2020-01-03,Viernes,06:47:40,14:50:35,false
43,34534534W,2020-01-03,Viernes,06:48:06,14:48:37,false
44,45645645X,2020-01-03,Viernes,07:00:19,14:49:30,false
45,56756756Y,2020-01-03,Viernes,06:47:58,15:14:59,false
46,12345678A,2020-01-07,Martes,07:08:19,15:10:48,false
47,34567890C,2020-01-07,Martes,07:08:15,15:01:15,false
48,56789012E,2020-01-07,Martes,06:55:45,14:45:52,false
49,67890123F,2020-01-07,Martes,07:08:09,15:03:13,false
50,78901234G,2020-01-07,Martes,07:04:22,15:09:37,false
51,89012345H,2020-01-07,Martes,06:48:20,14:51:35,false
52,90123456I,2020-01-07,Martes,06:46:30,15:14:46,false
53,01234567J,2020-01-07,Martes,06:53:11,15:02:21,false
54,11223344K,2020-01-07,Martes,06:57:07,15:09:35,false
55,22334455L,2020-01-07,Martes,06:45:29,14:49:00,false
56,33445566M,2020-01-07,Martes,06:51:52,14:54:23,false
57,55667788O,2020-01-07,Martes,07:09:09,15:05:10,false
58,66778899P,2020-01-07,Martes,06:47:40,15:15:22,false
59,77889900Q,2020-01-07,Martes,06:49:51,14:57:08,false
60,88990011R,2020-01-07,Martes,07:00:21,15:02:23,false
61,99001122S,2020-01-07,Martes,06:51:12,15:14:01,false
62,00112233T,2020-01-07,Martes,07:03:15,14:58:51,false
63,12312312U,2020-01-07,Martes,06:56:56,15:02:16,false
64,23423423V,2020-01-07,Martes,06:54:52,14:54:30,false
65,34534534W,2020-01-07,Martes,06:58:59,15:15:59,false
66,56756756Y,2020-01-07,Martes,07:00:38,14:47:43,false
67,12345678A,2020-01-08,Miércoles,07:08:17,15:15:36,false
68,23456789B,2020-01-08,Miércoles,07:14:52,14:59:30,false
69,34567890C,2020-01-08,Miércoles,07:08:31,15:04:09,false
70,45678901D,2020-01-08,Miércoles,07:03:47,15:14:07,false
71,56789012E,2020-01-08,Miércoles,06:49:26,15:00:28,false
72,67890123F,2020-01-08,Miércoles,06:46:41,15:09:42,false
73,78901234G,2020-01-08,Miércoles,07:01:55,15:10:49,false
74,89012345H,2020-01-08,Miércoles,06:58:02,14:58:15,false
75,01234567J,2020-01-08,Miércoles,07:11:17,15:04:09,false
76,22334455L,2020-01-08,Miércoles,06:51:23,14:57:55,false
77,33445566M,2020-01-08,Miércoles,06:55:16,15:04:44,false
78,44556677N,2020-01-08,Miércoles,06:54:34,15:07:36,false
79,55667788O,2020-01-08,Miércoles,07:11:31,14:54:00,false
80,66778899P,2020-01-08,Miércoles,07:01:01,14:58:27,false
81,88990011R,2020-01-08,Miércoles,07:07:58,15:03:43,false
82,99001122S,2020-01-08,Miércoles,07:07:57,14:57:47,false
83,00112233T,2020-01-08,Miércoles,06:50:49,14:47:55,false
84,12312312U,2020-01-08,Miércoles,07:14:35,14:54:38,false
85,23423423V,2020-01-08,Miércoles,06:53:43,15:14:39,false
86,34534534W,2020-01-08,Miércoles,06:59:41,14:48:08,false
87,56756756Y,2020-01-08,Miércoles,07:09:08,14:55:37,false
88,12345678A,2020-01-09,Jueves,07:09:31,15:01:44,false
89,23456789B,2020-01-09,Jueves,06:51:34,15:10:31,false
90,34567890C,2020-01-09,Jueves,07:12:03,14:51:43,false
91,56789012E,2020-01-09,Jueves,07:08:43,15:01:32,false
92,78901234G,2020-01-09,Jueves,07:11:29,15:13:01,false
93,89012345H,2020-01-09,Jueves,07:00:16,15:15:37,false
94,90123456I,2020-01-09,Jueves,07:04:49,15:10:28,false
95,01234567J,2020-01-09,Jueves,06:52:28,15:00:07,false
96,22334455L,2020-01-09,Jueves,06:49:21,14:56:28,false
97,33445566M,2020-01-09,Jueves,06:46:51,15:10:57,false
98,44556677N,2020-01-09,Jueves,06:47:04,14:50:25,false
99,55667788O,2020-01-09,Jueves,06:59:43,15:08:25,false
100,66778899P,2020-01-09,Jueves,06:51:33,14:50:19,false
101,77889900Q,2020-01-09,Jueves,06:51:11,15:09:47,false
102,88990011R,2020-01-09,Jueves,06:59:45,15:13:52,false
103,00112233T,2020-01-09,Jueves,06:45:05,14:46:43,false
104,12312312U,2020-01-09,Jueves,07:06:08,15:15:16,false
105,23423423V,2020-01-09,Jueves,07:14:07,15:14:26,false
106,45645645X,2020-01-09,Jueves,06:57:44,15:13:36,false
107,12345678A,2020-01-10,Viernes,07:00:50,14:57:22,false
108,23456789B,2020-01-10,Viernes,07:14:02,14:55:45,false
109,34567890C,2020-01-10,Viernes,07:06:53,14:48:32,false
110,45678901D,2020-01-10,Viernes,07:08:09,15:09:44,false
111,56789012E,2020-01-10,Viernes,06:52:04,15:08:00,false
112,67890123F,2020-01-10,Viernes,06:50:31,14:48:45,false
113,78901234G,2020-01-10,Viernes,06:48:03,15:10:23,false
114,89012345H,2020-01-10,Viernes,07:15:08,15:05:11,false
115,90123456I,2020-01-10,Viernes,06:57:14,15:13:06,false
116,01234567J,2020-01-10,Viernes,07:02:06,14:46:09,false
117,11223344K,2020-01-10,Viernes,06:59:03,14:57:38,false
118,22334455L,2020-01-10,Viernes,07:08:39,15:10:32,false
119,33445566M,2020-01-10,Viernes,07:06:45,15:06:21,false
120,44556677N,2020-01-10,Viernes,06:57:42,14:50:43,false
121,55667788O,2020-01-10,Viernes,07:15:06,14:52:39,false
122,77889900Q,2020-01-10,Viernes,06:46:18,14:47:17,false
123,88990011R,2020-01-10,Viernes,07:05:27,15:09:14,false
124,99001122S,2020-01-10,Viernes,06:46:17,15:02:53,false
125,00112233T,2020-01-10,Viernes,07:05:28,14:54:11,false
126,12312312U,2020-01-10,Viernes,07:15:25,15:03:01,false
127,23423423V,2020-01-10,Viernes,07:00:20,15:14:14,false
128,34534534W,2020-01-10,Viernes,06:45:42,15:15:38,false
129,12345678A,2020-01-13,Lunes,07:04:29,14:54:51,false
130,23456789B,2020-01-13,Lunes,06:56:52,15:03:39,false
131,34567890C,2020-01-13,Lunes,07:15:38,14:58:51,false
132,56789012E,2020-01-13,Lunes,07:02:50,15:12:37,false
133,67890123F,2020-01-13,Lunes,07:07:10,15:04:09,false
134,78901234G,2020-01-13,Lunes,06:56:41,14:57:29,false
135,89012345H,2020-01-13,Lunes,06:47:20,14:48:22,false
136,90123456I,2020-01-13,Lunes,06:50:32,14:53:20,false
137,01234567J,2020-01-13,Lunes,07:13:45,15:02:47,false
138,11223344K,2020-01-13,Lunes,07:07:12,15:01:53,false
139,22334455L,2020-01-13,Lunes,06:59:51,14:52:28,false
140,33445566M,2020-01-13,Lunes,06:59:58,14:58:26,false
