id,id_trabajador,fecha,dia_semana,hora_entrada,hora_salida,modificado
1,12345678A,2022-01-03,Lunes,07:06:37,14:54:53,false
2,56789012E,2022-01-03,Lunes,06:56:29,15:00:03,false
3,23456789B,2022-01-04,Martes,07:02:42,15:04:30,false
4,34567890C,2022-01-04,Martes,07:00:08,14:57:17,false
5,56789012E,2022-01-04,Martes,07:03:59,14:56:16,false
6,12345678A,2022-01-05,Miércoles,06:55:59,15:14:12,false
7,23456789B,2022-01-05,Miércoles,07:05:31,15:09:45,false
8,45678901D,2022-01-05,Miércoles,07:15:08,14:59:02,false
9,56789012E,2022-01-05,Miércoles,07:05:16,15:09:29,false
10,23456789B,2022-01-07,Viernes,06:49:05,15:01:29,false
11,34567890C,2022-01-07,Viernes,06:55:16,14:53:23,false
12,56789012E,2022-01-07,Viernes,07:10:24,15:14:34,false
13,12345678A,2022-01-10,Lunes,07:08:42,14:53:43,false
14,23456789B,2022-01-10,Lunes,07:05:57,14:56:31,false
15,45678901D,2022-01-10,Lunes,07:04:31,14:49:03,false
16,56789012E,2022-01-10,Lunes,07:06:52,14:57:44,false
17,12345678A,2022-01-11,Martes,07:14:33,15:06:28,false
18,23456789B,2022-01-11,Martes,07:12:20,15:08:05,false
19,34567890C,2022-01-11,Martes,06:52:51,15:15:00,false
20,45678901D,2022-01-11,Martes,06:58:13,14:58:36,false
21,56789012E,2022-01-11,Martes,07:02:43,14:58:02,false
22,12345678A,2022-01-12,Miércoles,06:49:26,14:51:29,false
23,23456789B,2022-01-12,Miércoles,06:56:00,14:58:52,false
24,45678901D,2022-01-12,Miércoles,07:04:37,14:59:06,false
25,56789012E,2022-01-12,Miércoles,06:53:28,15:01:21,false
26,12345678A,2022-01-13,Jueves,07:06:27,15:04:25,false
27,34567890C,2022-01-13,Jueves,06:59:43,15:03:34,false
28,45678901D,2022-01-13,Jueves,06:51:37,14:46:16,false
29,56789012E,2022-01-13,Jueves,07:01:07,15:03:22,false
30,12345678A,2022-01-14,Viernes,07:06:28,14:59:43,false
31,23456789B,2022-01-14,Viernes,06:49:06,15:08:25,false
32,45678901D,2022-01-14,Viernes,06:57:56,15:15:48,false
33,56789012E,2022-01-14,Viernes,07:12:56,15:11:06,false
34,23456789B,2022-01-17,Lunes,07:04:22,14:46:34,false
35,34567890C,2022-01-17,Lunes,06:47:42,14:46:53,false
36,45678901D,2022-01-17,Lunes,07:03:59,14:49:40,false
37,56789012E,2022-01-17,Lunes,07:06:44,15:00:30,false
38,23456789B,2022-01-18,Martes,07:00:28,14:46:16,false
39,34567890C,2022-01-18,Martes,07:03:01,14:56:31,false
40,45678901D,2022-01-18,Martes,06:52:21,15:01:08,false
41,56789012E,2022-01-18,Martes,07:14:49,15:07:14,false
42,12345678A,2022-01-19,Miércoles,07:08:14,15:12:38,false
43,23456789B,2022-01-19,Miércoles,07:05:28,15:14:33,false
44,34567890C,2022-01-19,Miércoles,06:58:08,15:04:39,false
45,45678901D,2022-01-19,Miércoles,07:11:22,15:02:23,false
46,56789012E,2022-01-19,Miércoles,06:58:45,14:57:28,false
47,23456789B,2022-01-20,Jueves,06:54:09,15:09:14,false
48,34567890C,2022-01-20,Jueves,06:45:43,14:45:18,false
49,45678901D,2022-01-20,Jueves,07:15:27,14:53:38,false
50,56789012E,2022-01-20,Jueves,07:06:18,15:14:39,false
51,12345678A,2022-01-21,Viernes,07:15:22,14:53:53,false
52,34567890C,2022-01-21,Viernes,07:03:58,14:51:35,false
53,45678901D,2022-01-21,Viernes,07:06:58,15:08:57,false
54,56789012E,2022-01-21,Viernes,06:46:30,14:48:23,false
55,23456789B,2022-01-24,Lunes,07:11:33,14:48:43,false
56,34567890C,2022-01-24,Lunes,06:54:31,15:14:52,false
57,45678901D,2022-01-24,Lunes,06:59:06,14:58:03,false
58,23456789B,2022-01-25,Martes,07:15:45,14:46:57,false
59,34567890C,2022-01-25,Martes,06:57:22,14:51:43,false
